Timestamp,Generated Query
2026-06-10 17:06:59,Pt-Pd-Ni-Co-Fe acidic ORR fuel cell
2026-06-10 17:06:59,MPEA electrochemically active surface area acidic ORR fuel cell
2026-06-10 17:06:59,medium-entropy alloy ORR half wave potential fuel cell
2026-06-10 20:52:49,Pt Pd Co Ni Cu ADT electrocatalyst fuel cell
2026-06-10 20:52:49,multi principal element alloy XC-72 supported ORR fuel cell
2026-06-10 20:52:49,PtPdRuRhIr ORR accelerated stress test fuel cell
2026-06-10 20:52:49,Pd Ni multimetallic alloy oxygen reduction fuel cell
2026-06-10 20:52:49,high-entropy nanoparticle HOR fuel cell
2026-06-10 20:52:49,multi principal element alloy polymer electrolyte membrane fuel cell catalyst
2026-06-10 20:52:49,MPEA nanosheet alkaline ORR fuel cell
2026-06-10 20:52:49,Pt Pd Ru Ni Co high entropy alloy HOR fuel cell
2026-06-10 22:22:07,multicomponent alloy ORR half wave potential fuel cell
2026-06-10 22:22:07,multimetallic alloy fuel cell electrocatalyst catalyst
2026-06-10 22:22:07,high entropy alloy nanoparticles EOR fuel cell
2026-06-10 22:22:07,high entropy electrocatalyst fuel cell ADT
2026-06-10 22:22:07,high-entropy nanoparticle MEA catalyst
2026-06-10 22:22:07,high entropy nanomaterial HOR fuel cell
2026-06-10 22:22:07,high entropy intermetallic ORR MEA performance
2026-06-10 22:22:07,Pt based medium-entropy alloy HOR fuel cell
2026-06-10 22:31:25,Ru based high entropy nanomaterial fuel cell
2026-06-10 22:31:25,high entropy nanomaterial fuel cell catalyst catalyst
2026-06-10 22:31:25,compositionally complex alloy fuel cell half wave potential
2026-06-10 22:31:25,MPEA fuel cell accelerated stress test
2026-06-10 22:31:25,Pt Ru Fe Co Ni fuel cell ADT
2026-06-10 22:31:25,Pd Pt Ni Co Cu high entropy alloy acidic oxygen reduction fuel cell
2026-06-10 22:31:25,Pd based high entropy alloy ORR fuel cell
2026-06-10 22:31:25,Pt Fe Co Ni Mn ORR ADT fuel cell
2026-06-10 23:02:59,Pt Sn MPEA acidic ORR fuel cell
2026-06-10 23:02:59,PtPdNiCoFe MOR electrocatalyst fuel cell
2026-06-10 23:02:59,Pt Pd Ni Co Fe MOR fuel cell
2026-06-10 23:02:59,Ir based multicomponent alloy fuel cell
2026-06-10 23:02:59,high entropy electrocatalyst carbon nanotube supported EOR fuel cell
2026-06-10 23:02:59,high-entropy alloy methanol oxidation reaction catalyst fuel cell
2026-06-10 23:02:59,Ru based high-entropy alloy ORR fuel cell
2026-06-10 23:02:59,medium entropy alloy CNT supported fuel cell
2026-06-10 23:20:46,high entropy nanoparticle ethanol oxidation reaction catalyst fuel cell
2026-06-10 23:20:46,PtPdCoNiCu alkaline oxygen reduction fuel cell
2026-06-10 23:20:46,Pd Pt Ni Co Cu fuel cell half wave potential
2026-06-10 23:20:46,medium entropy alloy PEMFC catalyst
2026-06-10 23:20:46,high entropy nanomaterial XC-72 supported ethanol oxidation reaction fuel cell
2026-06-10 23:20:46,high-entropy nanoparticle nanocrystal acidic oxygen reduction fuel cell
2026-06-10 23:20:46,high entropy nanomaterial ORR ADT fuel cell
2026-06-10 23:20:46,PtPdCoNiCu specific activity electrocatalyst fuel cell
2026-06-10 23:38:18,high entropy electrocatalyst ADT methanol oxidation reaction fuel cell
2026-06-10 23:38:18,high entropy alloy nanosheet fuel cell
2026-06-10 23:38:18,medium-entropy alloy membrane electrode assembly catalyst
2026-06-10 23:38:18,multi-principal element alloy alloy catalyst EOR fuel cell
2026-06-10 23:38:18,Pt Pd Ni Co Fe specific activity electrocatalyst fuel cell
2026-06-10 23:38:18,high entropy nanoparticle carbon nanotube supported ORR fuel cell
2026-06-10 23:38:18,PtNiCoFeCu ORR specific activity fuel cell
2026-06-10 23:38:18,high entropy nanomaterial fuel cell electrocatalyst accelerated durability test
2026-06-10 23:58:43,medium-entropy alloy Vulcan supported fuel cell
2026-06-10 23:58:43,compositionally complex alloy fuel cell accelerated stress test
2026-06-10 23:58:43,Pt Fe Co Ni Mn ORR stability fuel cell
2026-06-10 23:58:43,medium entropy alloy ORR fuel cell performance
2026-06-10 23:58:43,high-entropy alloy fuel cell accelerated durability test
2026-06-10 23:58:43,MPEA Vulcan supported ORR fuel cell
2026-06-10 23:58:43,Ir based high entropy nanoparticle ORR fuel cell
2026-06-10 23:58:43,PtPdNiCoFe fuel cell accelerated durability test
2026-06-11 00:09:51,high-entropy alloy membrane electrode assembly fuel cell performance
2026-06-11 00:09:51,high entropy intermetallic proton exchange membrane fuel cell catalyst
2026-06-11 00:09:51,MPEA fuel cell performance EOR
2026-06-11 00:09:51,Ru based high entropy alloys fuel cell
2026-06-11 00:09:51,PtPdCoNiCu fuel cell fuel cell performance
2026-06-11 00:09:51,PtRuFeCoNi high entropy alloy alkaline oxygen reduction fuel cell
2026-06-11 00:09:51,Pt Ni medium-entropy alloy HOR fuel cell
2026-06-11 00:09:51,high entropy alloys nanoparticles fuel cell
2026-06-11 00:14:56,Pt Co Ni Cu Fe high entropy alloy ethanol oxidation reaction fuel cell
2026-06-11 00:14:56,Ir Cu multimetallic alloy HOR fuel cell
2026-06-11 00:14:56,Ru based high-entropy nanoparticle acidic ORR fuel cell
2026-06-11 00:14:56,high entropy alloy fuel cell catalyst durability
2026-06-11 00:14:56,Pt Cr multimetallic alloy oxygen reduction fuel cell
2026-06-11 00:14:56,high entropy alloys ORR MEA performance
2026-06-11 00:14:56,compositionally complex alloy Pt based alkaline oxygen reduction fuel cell
2026-06-11 00:14:56,MPEA fuel cell MEA performance
2026-06-11 00:26:21,high entropy nanoparticle acidic fuel cell
2026-06-11 00:26:21,Pt-Pd-Ni-Co-Fe high entropy alloy methanol oxidation reaction fuel cell
2026-06-11 00:26:21,high-entropy alloy PEMFC accelerated durability test
2026-06-11 00:26:21,Pt Ni Co Fe Cu ORR fuel cell performance
2026-06-11 00:26:21,Pd Mo multimetallic alloy oxygen reduction fuel cell
2026-06-11 00:26:21,medium-entropy alloy accelerated stress test hydrogen oxidation reaction fuel cell
2026-06-11 00:26:21,high entropy electrocatalyst half-wave potential ORR fuel cell
2026-06-11 00:26:21,Pt Pd Ni Co Fe ORR specific activity fuel cell
2026-06-11 00:33:53,Pt Ni Co Fe Cu fuel cell accelerated stress test
2026-06-11 00:33:53,Pd Ru Rh Ir Pt oxygen reduction reaction electrocatalyst fuel cell
2026-06-11 00:33:53,Pd based MPEA methanol oxidation reaction fuel cell
2026-06-11 00:33:53,medium-entropy alloy Pt based alkaline oxygen reduction fuel cell
2026-06-11 00:33:53,PtCoNiCuFe carbon supported alkaline oxygen reduction fuel cell
2026-06-11 00:33:53,MPEA XC-72 supported alkaline ORR fuel cell
2026-06-11 00:33:53,Pt based high entropy intermetallic fuel cell
2026-06-11 00:33:53,Pt-Ni-Co-Fe-Cu high entropy alloy acidic ORR fuel cell
2026-06-11 00:49:22,Ir Co high entropy electrocatalyst MOR fuel cell
2026-06-11 00:49:22,compositionally complex alloy nanoparticles fuel cell
2026-06-11 00:49:22,Ir based multi principal element alloy HOR fuel cell
2026-06-11 00:49:22,Ru compositionally complex alloy mass activity fuel cell
2026-06-11 00:49:22,compositionally complex alloy XC-72 supported MOR fuel cell
2026-06-11 00:49:22,Pd Ru Rh Ir Pt carbon supported alkaline ORR fuel cell
2026-06-11 00:49:22,MPEA polymer electrolyte membrane fuel cell catalyst
2026-06-11 00:49:22,multicomponent alloy fuel cell electrocatalyst power density
2026-06-11 01:01:16,PtNiCoFeCu fuel cell fuel cell performance
2026-06-11 01:01:16,multi principal element alloy durability ORR fuel cell
2026-06-11 01:01:16,Pd Pt Ni Co Cu high entropy alloy oxygen reduction reaction fuel cell
2026-06-11 01:01:16,Pd Ru Rh Ir Pt ORR specific activity fuel cell
2026-06-11 01:01:16,PtIrRuRhPd acidic ORR fuel cell
2026-06-11 01:01:16,Rh Cr high entropy alloy ORR fuel cell
2026-06-11 01:01:16,Pd based high entropy nanoparticle ORR fuel cell
2026-06-11 01:01:16,multimetallic alloy membrane electrode assembly catalyst
2026-06-11 01:09:58,high entropy alloy MOR electrocatalyst fuel cell
2026-06-11 01:09:58,Pt based high entropy nanomaterial ethanol oxidation reaction fuel cell
2026-06-11 01:09:58,Pd Pt Ni Co Cu high entropy alloy EOR fuel cell
2026-06-11 01:09:58,multi-principal element alloy ethanol oxidation reaction electrocatalyst fuel cell
2026-06-11 01:09:58,high entropy nanomaterial stability ethanol oxidation reaction fuel cell
2026-06-11 01:09:58,high entropy alloy fuel cell mass activity
2026-06-11 01:09:58,Pt Ni high entropy alloy ORR fuel cell
2026-06-11 01:09:58,multimetallic alloy alkaline oxygen reduction catalyst fuel cell
2026-06-11 01:19:56,Rh based high entropy electrocatalyst ORR fuel cell
2026-06-11 01:19:56,MPEA carbon supported acidic ORR fuel cell
2026-06-11 01:19:56,medium entropy alloy membrane electrode assembly methanol oxidation reaction
2026-06-11 01:19:56,compositionally complex alloy nanosheet fuel cell
2026-06-11 01:19:56,multi principal element alloy specific activity MOR fuel cell
2026-06-11 01:19:56,multi-principal element alloy fuel cell accelerated durability test
2026-06-11 01:19:56,multi principal element alloy nanosheet ORR fuel cell
2026-06-11 01:19:56,PtCoNiCuFe acidic ORR electrocatalyst fuel cell
2026-06-11 01:28:28,medium entropy alloy accelerated stress test ethanol oxidation reaction fuel cell
2026-06-11 01:28:28,high entropy alloy MOR fuel cell
2026-06-11 01:28:28,PtNiCoFeCu fuel cell specific activity
2026-06-11 01:28:28,IrRuRhPtPd ORR half wave potential fuel cell
2026-06-11 01:28:28,Ir based high entropy nanomaterial ORR fuel cell
2026-06-11 01:28:28,medium entropy alloy fuel cell electrocatalyst mass activity
2026-06-11 01:28:28,Pt-Pd-Ni-Co-Fe methanol oxidation reaction fuel cell
2026-06-11 01:28:28,Pt-Ni-Co-Fe-Cu alkaline oxygen reduction fuel cell
2026-06-11 01:41:54,Pd Ru Rh Ir Pt high entropy alloy acidic oxygen reduction fuel cell
2026-06-11 01:41:54,Pt-Pd-Ni-Co-Fe ORR accelerated durability test fuel cell
2026-06-11 01:41:54,Pd Sn high entropy alloy ORR fuel cell
2026-06-11 01:41:54,PtRuFeCoNi alkaline oxygen reduction fuel cell
2026-06-11 01:41:54,Pt Pd Ru Rh Ir ORR mass activity fuel cell
2026-06-11 01:41:54,PtNiCoFeCu acidic ORR electrocatalyst fuel cell
2026-06-11 01:41:54,MPEA EOR electrocatalyst fuel cell
2026-06-11 01:41:54,compositionally complex alloy graphene supported alkaline oxygen reduction fuel cell
2026-06-11 01:43:12,compositionally complex alloy polymer electrolyte membrane fuel cell
2026-06-11 01:43:12,PtPdNiCoFe acidic ORR electrocatalyst fuel cell
2026-06-11 01:43:12,Pt-Pd-Ni-Co-Fe accelerated stress test electrocatalyst fuel cell
2026-06-11 01:43:12,Pd Cr multimetallic alloy oxygen reduction fuel cell
2026-06-11 01:43:12,Pt-Pd-Ru-Rh-Ir ORR half wave potential fuel cell
2026-06-11 01:43:12,multi-principal element alloy fuel cell electrocatalyst
2026-06-11 01:43:12,high-entropy alloy methanol oxidation reaction fuel cell
2026-06-11 01:43:12,high-entropy nanoparticle Pt based oxygen reduction reaction fuel cell
2026-06-11 01:51:58,PtCoNiCuFe acidic ORR fuel cell
2026-06-11 01:51:58,medium-entropy alloy carbon nanotube supported oxygen reduction reaction fuel cell
2026-06-11 01:51:58,PtPdRuRhIr EOR electrocatalyst fuel cell
2026-06-11 01:51:58,high-entropy nanoparticle ADT oxygen reduction reaction fuel cell
2026-06-11 01:51:58,medium entropy alloy polymer electrolyte membrane fuel cell power density
2026-06-11 01:51:58,high entropy alloys oxygen reduction reaction fuel cell
2026-06-11 01:51:58,medium entropy alloy carbon supported fuel cell
2026-06-11 01:51:58,high entropy alloy stability acidic oxygen reduction fuel cell
2026-06-11 01:56:34,high entropy intermetallic XC-72 supported MOR fuel cell
2026-06-11 01:56:34,high entropy nanomaterial nanocrystal ORR fuel cell
2026-06-11 01:56:34,Ru high entropy alloy mass activity fuel cell
2026-06-11 01:56:34,Pt-Pd-Ru-Rh-Ir alkaline oxygen reduction electrocatalyst fuel cell
2026-06-11 01:56:34,high entropy electrocatalyst fuel cell electrocatalyst alkaline oxygen reduction
2026-06-11 01:56:34,Rh Fe multimetallic alloy oxygen reduction fuel cell
2026-06-11 01:56:34,Pd Pt Ni Co Cu fuel cell ECSA
2026-06-11 01:56:34,Pt Pd Au Ag Cu MOR electrocatalyst fuel cell
2026-06-11 02:01:01,multi principal element alloy alkaline ORR catalyst fuel cell
2026-06-11 02:01:01,medium-entropy alloy carbon supported acidic ORR fuel cell
2026-06-11 02:01:01,Rh based multicomponent alloy MOR fuel cell
2026-06-11 02:01:01,high entropy nanomaterial EOR catalyst fuel cell
2026-06-11 02:01:01,Ir Ru Rh Pt Pd fuel cell fuel cell performance
2026-06-11 02:01:01,high-entropy nanoparticle fuel cell catalyst
2026-06-11 02:01:01,high-entropy alloy single phase oxygen reduction reaction fuel cell
2026-06-11 02:01:01,multi principal element alloy methanol oxidation reaction electrocatalyst fuel cell
2026-06-11 02:14:03,high entropy intermetallic oxygen reduction reaction electrocatalyst fuel cell
2026-06-11 02:14:03,Rh multimetallic alloy mass activity fuel cell
2026-06-11 02:14:03,Pt Co Ni Cu Fe fuel cell electrochemically active surface area
2026-06-11 02:14:03,high entropy alloy ORR specific activity fuel cell
2026-06-11 02:14:03,Pt Pd Au Ag Cu ORR half wave potential fuel cell
2026-06-11 02:14:03,multimetallic alloy specific activity MOR fuel cell
2026-06-11 02:14:03,MPEA XC-72 supported acidic ORR fuel cell
2026-06-11 02:14:03,high entropy intermetallic accelerated durability test oxygen reduction reaction fuel cell
2026-06-11 02:17:32,multi-principal element alloy nanocrystal oxygen reduction reaction fuel cell
2026-06-11 02:17:32,MPEA Pt based acidic ORR fuel cell
2026-06-11 02:17:32,MPEA EOR catalyst fuel cell
2026-06-11 02:17:32,multi principal element alloy carbon supported ORR fuel cell
2026-06-11 02:17:32,high-entropy nanoparticle intermetallic MOR fuel cell
2026-06-11 02:17:32,Pd Pt Ni Co Cu HOR electrocatalyst fuel cell
2026-06-11 02:17:32,PtFeCoNiMn high entropy alloy MOR fuel cell
2026-06-11 02:17:32,Rh Co high entropy alloy ORR fuel cell
2026-06-11 02:19:28,multi principal element alloy fuel cell accelerated durability test
2026-06-11 02:19:28,MPEA HOR electrocatalyst fuel cell
2026-06-11 02:19:28,Pt Pd Co Ni Cu ORR ECSA fuel cell
2026-06-11 02:19:28,multi principal element alloy carbon supported hydrogen oxidation reaction fuel cell
2026-06-11 02:19:28,PtPdAuAgCu alkaline oxygen reduction electrocatalyst fuel cell
2026-06-11 02:19:28,medium-entropy alloy CNT supported ORR fuel cell
2026-06-11 02:19:28,multi principal element alloy carbon supported oxygen reduction reaction fuel cell
2026-06-11 02:19:28,multi principal element alloy ORR accelerated durability test fuel cell
2026-06-11 02:23:20,Pt Ru Fe Co Ni ORR accelerated stress test fuel cell
2026-06-11 02:23:20,multi principal element alloy platinum based HOR fuel cell
2026-06-11 02:23:20,high entropy alloys fuel cell fuel cell performance
2026-06-11 02:23:20,MPEA platinum based ethanol oxidation reaction fuel cell
2026-06-11 02:23:20,high-entropy alloy fuel cell catalyst ADT
2026-06-11 02:23:20,multimetallic alloy Pt based HOR fuel cell
2026-06-11 02:23:20,medium-entropy alloy nanoparticle ORR fuel cell
2026-06-11 02:23:20,Pd Ru Rh Ir Pt carbon supported alkaline oxygen reduction fuel cell
2026-06-11 02:35:00,medium entropy alloy fuel cell electrocatalyst accelerated stress test
2026-06-11 02:35:00,multi-principal element alloy MOR electrocatalyst fuel cell
2026-06-11 02:35:00,high entropy nanoparticle ORR electrochemically active surface area fuel cell
2026-06-11 02:35:00,Pt Co Ni Cu Fe high entropy alloy methanol oxidation reaction fuel cell
2026-06-11 02:35:00,MPEA carbon supported HOR fuel cell
2026-06-11 02:35:00,Pt Ir Ru Rh Pd EOR fuel cell
2026-06-11 02:35:00,MPEA ORR fuel cell performance
2026-06-11 02:35:00,Pd Ru Rh Ir Pt fuel cell ECSA
2026-06-11 02:38:32,PtPdNiCoFe high entropy alloy oxygen reduction reaction fuel cell
2026-06-11 02:38:32,multimetallic alloy fuel cell electrocatalyst EOR
2026-06-11 02:38:32,Pt Pd Ru Ni Co acidic oxygen reduction electrocatalyst fuel cell
2026-06-11 02:38:32,Rh based high entropy alloy hydrogen oxidation reaction fuel cell
2026-06-11 02:38:32,multicomponent alloy polymer electrolyte membrane fuel cell hydrogen oxidation reaction
2026-06-11 02:38:32,high-entropy nanoparticle alkaline oxygen reduction catalyst fuel cell
2026-06-11 02:38:32,PtCoNiCuFe ORR fuel cell performance
2026-06-11 02:38:32,multi-principal element alloy carbon supported ethanol oxidation reaction fuel cell
2026-06-11 02:48:55,multi-principal element alloy single phase oxygen reduction reaction fuel cell
2026-06-11 02:48:55,Ir Ru Rh Pt Pd ORR fuel cell performance
2026-06-11 02:48:55,IrRuRhPtPd ORR accelerated stress test fuel cell
2026-06-11 02:48:55,multi-principal element alloy fuel cell electrocatalyst hydrogen oxidation reaction
2026-06-11 02:48:55,high entropy alloys accelerated durability test hydrogen oxidation reaction fuel cell
2026-06-11 02:48:55,multimetallic alloy XC-72 supported fuel cell
2026-06-11 02:48:55,Pt-Pd-Ni-Co-Fe HOR fuel cell
2026-06-11 02:48:55,PtPdCoNiCu ORR durability fuel cell
2026-06-11 02:52:12,high entropy alloys methanol oxidation reaction fuel cell
2026-06-11 02:52:12,IrRuRhPtPd high entropy alloy alkaline oxygen reduction fuel cell
2026-06-11 02:52:12,high entropy intermetallic specific activity ORR fuel cell
2026-06-11 02:52:12,Pt Ru Fe Co Ni fuel cell power density
2026-06-11 02:52:12,multimetallic alloy MEA
2026-06-11 02:52:12,Ir Ru Rh Pt Pd fuel cell stability
2026-06-11 02:52:12,Pd Pt Ni Co Cu fuel cell specific activity
2026-06-11 02:52:12,high-entropy alloy hydrogen oxidation reaction catalyst fuel cell
2026-06-11 03:03:13,Ir Fe high-entropy alloy acidic ORR fuel cell
2026-06-11 03:03:13,medium-entropy alloy ORR durability fuel cell
2026-06-11 03:03:13,high-entropy nanoparticle Vulcan supported EOR fuel cell
2026-06-11 03:03:13,Pt based high entropy electrocatalyst ORR fuel cell
2026-06-11 03:03:13,multicomponent alloy HOR fuel cell
2026-06-11 03:03:13,multi-principal element alloy carbon supported alkaline ORR fuel cell
2026-06-11 03:03:13,high-entropy nanoparticle acidic ORR fuel cell
2026-06-11 03:03:13,high entropy alloy membrane electrode assembly hydrogen oxidation reaction
2026-06-11 03:15:27,Pt Fe Co Ni Mn ethanol oxidation reaction electrocatalyst fuel cell
2026-06-11 03:15:27,Pt-Ni-Co-Fe-Cu high entropy alloy EOR fuel cell
2026-06-11 03:15:27,PtFeCoNiMn acidic ORR fuel cell
2026-06-11 03:15:27,Pt Mn high-entropy alloy ethanol oxidation reaction fuel cell
2026-06-11 03:15:27,Ir based multi-principal element alloy ORR fuel cell
2026-06-11 03:15:27,Pt Fe Co Ni Mn high entropy alloy HOR fuel cell
2026-06-11 03:15:27,Pd Pt Ni Co Cu fuel cell MEA performance
2026-06-11 03:15:27,Pt Pd Ni Co Fe ORR fuel cell performance
2026-06-11 03:23:58,Pt-Ni-Co-Fe-Cu methanol oxidation reaction electrocatalyst fuel cell
2026-06-11 03:23:58,medium entropy alloy acidic oxygen reduction fuel cell
2026-06-11 03:23:58,compositionally complex alloy CNT supported acidic ORR fuel cell
2026-06-11 03:23:58,Pt Pd Ru Rh Ir methanol oxidation reaction electrocatalyst fuel cell
2026-06-11 03:23:58,high entropy intermetallic PEMFC accelerated stress test
2026-06-11 03:23:58,Ru based MPEA alkaline ORR fuel cell
2026-06-11 03:23:58,multi-principal element alloy specific activity alkaline oxygen reduction fuel cell
2026-06-11 03:23:58,high-entropy nanoparticle intermetallic fuel cell
2026-06-11 03:34:59,multi principal element alloy ethanol oxidation reaction electrocatalyst fuel cell
2026-06-11 03:34:59,Pt Ni Co Fe Cu carbon supported MOR fuel cell
2026-06-11 03:34:59,Pt Ir Ru Rh Pd carbon supported ORR fuel cell
2026-06-11 03:34:59,high entropy nanoparticle ORR catalyst fuel cell
2026-06-11 03:34:59,medium-entropy alloy electrochemically active surface area ethanol oxidation reaction fuel cell
2026-06-11 03:34:59,high entropy nanomaterial methanol oxidation reaction fuel cell
2026-06-11 03:34:59,high entropy nanomaterial ethanol oxidation reaction fuel cell
2026-06-11 03:34:59,high-entropy alloy ORR mass activity fuel cell
2026-06-11 03:37:53,Pt Ir Ru Rh Pd ORR electrocatalyst fuel cell
2026-06-11 03:37:53,PtPdRuRhIr MEA performance electrocatalyst
2026-06-11 03:37:53,multicomponent alloy hydrogen oxidation reaction fuel cell
2026-06-11 03:37:53,Pd Pt Ni Co Cu carbon supported acidic ORR fuel cell
2026-06-11 03:37:53,multi principal element alloy platinum based hydrogen oxidation reaction fuel cell
2026-06-11 03:37:53,multi principal element alloy Pt based acidic ORR fuel cell
2026-06-11 03:37:53,high-entropy alloy alkaline ORR catalyst fuel cell
2026-06-11 03:37:53,Pd based multi principal element alloy ORR fuel cell
2026-06-11 03:42:25,medium entropy alloy carbon nanotube supported alkaline oxygen reduction fuel cell
2026-06-11 03:42:25,Pt Ni Co Fe Cu oxygen reduction reaction fuel cell
2026-06-11 03:42:25,high entropy electrocatalyst MOR catalyst fuel cell
2026-06-11 03:42:25,high entropy intermetallic power density methanol oxidation reaction fuel cell
2026-06-11 03:42:25,Pt-Pd-Ru-Rh-Ir HOR electrocatalyst fuel cell
2026-06-11 03:42:25,compositionally complex alloy accelerated durability test EOR fuel cell
2026-06-11 03:42:25,multicomponent alloy XC-72 supported fuel cell
2026-06-11 03:42:25,high-entropy nanoparticle ECSA methanol oxidation reaction fuel cell
2026-06-11 03:50:50,Pt Pd Ru Ni Co high entropy alloy EOR fuel cell
2026-06-11 03:50:50,high entropy alloy ORR stability fuel cell
2026-06-11 03:50:50,Rh Mo high entropy alloys alkaline oxygen reduction fuel cell
2026-06-11 03:50:50,PtPdNiCoFe ORR electrochemically active surface area fuel cell
2026-06-11 03:50:50,high entropy intermetallic methanol oxidation reaction electrocatalyst fuel cell
2026-06-11 03:50:50,Rh W multicomponent alloy acidic oxygen reduction fuel cell
2026-06-11 03:50:50,multimetallic alloy half-wave potential EOR fuel cell
2026-06-11 03:50:50,Pt Pd Ni Co Fe carbon supported ethanol oxidation reaction fuel cell
2026-06-11 03:52:49,high-entropy nanoparticle carbon nanotube supported ORR fuel cell
2026-06-11 03:52:49,IrRuRhPtPd high entropy alloy EOR fuel cell
2026-06-11 03:52:49,high entropy nanomaterial Pt based EOR fuel cell
2026-06-11 03:52:49,medium entropy alloy fuel cell electrocatalyst catalyst
2026-06-11 03:52:49,PtFeCoNiMn carbon supported acidic ORR fuel cell
2026-06-11 03:52:49,Pt Pd Ru Ni Co hydrogen oxidation reaction fuel cell
2026-06-11 03:52:49,high entropy nanomaterial nanoparticles acidic ORR fuel cell
2026-06-11 03:52:49,PtPdRuNiCo ORR MEA performance
2026-06-11 03:53:25,Pd Pt Ni Co Cu hydrogen oxidation reaction fuel cell
2026-06-11 03:53:25,multimetallic alloy fuel cell half-wave potential
2026-06-11 03:53:25,PtPdAuAgCu ORR half wave potential fuel cell
2026-06-11 03:53:25,medium-entropy alloy alkaline oxygen reduction catalyst fuel cell
2026-06-11 03:53:25,high entropy nanoparticle ECSA hydrogen oxidation reaction fuel cell
2026-06-11 03:53:25,high-entropy nanoparticle carbon nanotube supported ethanol oxidation reaction fuel cell
2026-06-11 03:53:25,high-entropy nanoparticle membrane electrode assembly
2026-06-11 03:53:25,Pt W multimetallic alloy oxygen reduction fuel cell
2026-06-11 03:58:03,Pt based medium entropy alloy fuel cell
2026-06-11 03:58:03,Pt-Pd-Ru-Rh-Ir ORR mass activity fuel cell
2026-06-11 03:58:03,Ru based multicomponent alloy MOR fuel cell
2026-06-11 03:58:03,PtIrRuRhPd ORR electrocatalyst fuel cell
2026-06-11 03:58:03,multimetallic alloy Pt based alkaline ORR fuel cell
2026-06-11 03:58:03,Ru Ni high-entropy nanoparticle alkaline ORR fuel cell
2026-06-11 03:58:03,Pd multicomponent alloy mass activity fuel cell
2026-06-11 03:58:03,Pd Ru Rh Ir Pt high entropy alloy methanol oxidation reaction fuel cell
2026-06-11 04:01:34,high entropy electrocatalyst fuel cell electrocatalyst
